Name,Price,Category
White Rice,400,Rice
Fried Rice,500,Rice
Jollof Rice,500,Rice
Coconut Fried Rice,500,Rice
Jambalaya,500,Rice
Ofada Rice,600,Rice
Plain Spaghetti ,500,Pasta
Beans & Rice (Plain),600,Beans
Beans & Rice (Jollof),650,Beans
Yam Porridge,700,Tubers
Plantain Porridge,850,Tubers
Plain Yam,300,Tubers
Eba,400,Nigerian Staples
FuFu,400,Nigerian Staples
Amala,400,Nigerian Staples
Pounded Yam,600,Nigerian Staples
Semovita,400,Nigerian Staples
Poundo ,600,Nigerian Staples
Efo Riro,500,Nigerian Soups
Egusi,500,Nigerian Soups
Ogbono,500,Nigerian Soups
Afang,500,Nigerian Soups
Nsala (White) Soup,500,Nigerian Soups
Oha ,500,Nigerian Soups
Edikaikong,500,Nigerian Soups
Vegetable Soup - Ugwu,500,Nigerian Soups
Sea Food Okro Soup,500,Nigerian Soups
Bitterleaf Soup,500,Nigerian Soups
Fried Tomato Stew,500,Stew & Sauce
Vegetable Stir Fry,500,Stew & Sauce
Egg Sauce,500,Stew & Sauce
Ofada Sauce,500,Stew & Sauce
Boiled Beef,500,Proteins
Fried Beef,500,Proteins
Croaker,600,Proteins
Mackerel,500,Proteins
Tilapia,500,Proteins
Fried Chicken,700,Proteins
Grilled Chicken,700,Proteins
Fried Turkey,1200,Proteins
Grilled Turkey,1200,Proteins
Pork,600,Proteins
Goat Meat,700,Proteins
Asun,1000,Finger Foods
Vegetable salad,300,Side Dish
Malta Guinness (CAN) x 24,6300,Malt
Malta Guinness (PET) x 12,2400,Malt
Dubic Malt (CAN) x 12,5900,Malt
Dubic Malt (PET) x 12,2350,Malt
Maltina (CAN) x 24,6250,Malt
Maltina (PET) x 12,2600,Malt
Amstel Malt (CAN),6250,Malt
